month_start,monthly_revenue,monthly_orders,monthly_customers,monthly_growth_pct,monthly_aov,region_name,region_revenue_total
2024-01-01,311260.412,432,416,,720.510212962963,Midwest,1351056.6835
2024-01-01,311260.412,432,416,,720.510212962963,Northeast,1330980.698
2024-01-01,311260.412,432,416,,720.510212962963,Pacific,1281543.3145
2024-01-01,311260.412,432,416,,720.510212962963,Southeast,1516618.616
2024-01-01,311260.412,432,416,,720.510212962963,Southwest,1443845.1535
2024-01-01,311260.412,432,416,,720.510212962963,Unknown,70711.224
2024-01-01,311260.412,432,416,,720.510212962963,West,1365597.143
2024-02-01,323040.3005,427,403,3.7845765300856815,756.5346615925059,Midwest,1351056.6835
2024-02-01,323040.3005,427,403,3.7845765300856815,756.5346615925059,Northeast,1330980.698
2024-02-01,323040.3005,427,403,3.7845765300856815,756.5346615925059,Pacific,1281543.3145
2024-02-01,323040.3005,427,403,3.7845765300856815,756.5346615925059,Southeast,1516618.616
2024-02-01,323040.3005,427,403,3.7845765300856815,756.5346615925059,Southwest,1443845.1535
2024-02-01,323040.3005,427,403,3.7845765300856815,756.5346615925059,Unknown,70711.224
2024-02-01,323040.3005,427,403,3.7845765300856815,756.5346615925059,West,1365597.143
2024-03-01,351668.392,482,459,8.862080506887082,729.6024730290457,Midwest,1351056.6835
2024-03-01,351668.392,482,459,8.862080506887082,729.6024730290457,Northeast,1330980.698
2024-03-01,351668.392,482,459,8.862080506887082,729.6024730290457,Pacific,1281543.3145
2024-03-01,351668.392,482,459,8.862080506887082,729.6024730290457,Southeast,1516618.616
2024-03-01,351668.392,482,459,8.862080506887082,729.6024730290457,Southwest,1443845.1535
2024-03-01,351668.392,482,459,8.862080506887082,729.6024730290457,Unknown,70711.224
2024-03-01,351668.392,482,459,8.862080506887082,729.6024730290457,West,1365597.143
2024-04-01,344717.3705,471,450,-1.9765840940291213,731.8840138004247,Midwest,1351056.6835
2024-04-01,344717.3705,471,450,-1.9765840940291213,731.8840138004247,Northeast,1330980.698
2024-04-01,344717.3705,471,450,-1.9765840940291213,731.8840138004247,Pacific,1281543.3145
2024-04-01,344717.3705,471,450,-1.9765840940291213,731.8840138004247,Southeast,1516618.616
2024-04-01,344717.3705,471,450,-1.9765840940291213,731.8840138004247,Southwest,1443845.1535
2024-04-01,344717.3705,471,450,-1.9765840940291213,731.8840138004247,Unknown,70711.224
2024-04-01,344717.3705,471,450,-1.9765840940291213,731.8840138004247,West,1365597.143
2024-05-01,340259.0865,482,450,-1.2933157367536974,705.9317147302904,Midwest,1351056.6835
2024-05-01,340259.0865,482,450,-1.2933157367536974,705.9317147302904,Northeast,1330980.698
2024-05-01,340259.0865,482,450,-1.2933157367536974,705.9317147302904,Pacific,1281543.3145
2024-05-01,340259.0865,482,450,-1.2933157367536974,705.9317147302904,Southeast,1516618.616
2024-05-01,340259.0865,482,450,-1.2933157367536974,705.9317147302904,Southwest,1443845.1535
2024-05-01,340259.0865,482,450,-1.2933157367536974,705.9317147302904,Unknown,70711.224
2024-05-01,340259.0865,482,450,-1.2933157367536974,705.9317147302904,West,1365597.143
2024-06-01,369969.5905,483,458,8.731729784385944,765.9825890269151,Midwest,1351056.6835
2024-06-01,369969.5905,483,458,8.731729784385944,765.9825890269151,Northeast,1330980.698
2024-06-01,369969.5905,483,458,8.731729784385944,765.9825890269151,Pacific,1281543.3145
2024-06-01,369969.5905,483,458,8.731729784385944,765.9825890269151,Southeast,1516618.616
2024-06-01,369969.5905,483,458,8.731729784385944,765.9825890269151,Southwest,1443845.1535
2024-06-01,369969.5905,483,458,8.731729784385944,765.9825890269151,Unknown,70711.224
2024-06-01,369969.5905,483,458,8.731729784385944,765.9825890269151,West,1365597.143
2024-07-01,338066.308,462,439,-8.623217507385917,731.7452554112555,Midwest,1351056.6835
2024-07-01,338066.308,462,439,-8.623217507385917,731.7452554112555,Northeast,1330980.698
2024-07-01,338066.308,462,439,-8.623217507385917,731.7452554112555,Pacific,1281543.3145
2024-07-01,338066.308,462,439,-8.623217507385917,731.7452554112555,Southeast,1516618.616
2024-07-01,338066.308,462,439,-8.623217507385917,731.7452554112555,Southwest,1443845.1535
