region_name,revenue,profit,orders,refunded,refund_rate_pct,month_start,monthly_revenue,monthly_growth_pct
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-01-01,311260.412,
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-02-01,323040.3005,3.7845765300856815
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-03-01,351668.392,8.862080506887082
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-04-01,344717.3705,-1.9765840940291213
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-05-01,340259.0865,-1.2933157367536974
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-06-01,369969.5905,8.731729784385944
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-07-01,338066.308,-8.623217507385917
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-08-01,374397.726,10.746831949902557
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-09-01,331987.364,-11.327622753777089
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-10-01,328705.122,-0.9886647372518764
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-11-01,346434.524,5.393710293324849
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2024-12-01,345784.502,-0.18763199247427975
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-01-01,356480.732,3.0933225572961076
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-02-01,294855.745,-17.287045685263013
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-03-01,376439.9,27.669175989770878
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-04-01,370268.154,-1.6395036764168869
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-05-01,351864.057,-4.970477963384345
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-06-01,329694.1045,-6.300715307218763
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-07-01,397047.192,20.428963266463242
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-08-01,362779.0235,-8.630754527537366
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-09-01,333918.4415,-7.955416418942973
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-10-01,353323.4085,5.8112894013372385
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-11-01,345990.5375,-2.0753991452564735
Midwest,1351056.6835,409986.2135,1801,59598.1995,4.4112286499784,2025-12-01,381400.839,10.234471080007502
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-01-01,311260.412,
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-02-01,323040.3005,3.7845765300856815
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-03-01,351668.392,8.862080506887082
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-04-01,344717.3705,-1.9765840940291213
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-05-01,340259.0865,-1.2933157367536974
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-06-01,369969.5905,8.731729784385944
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-07-01,338066.308,-8.623217507385917
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-08-01,374397.726,10.746831949902557
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-09-01,331987.364,-11.327622753777089
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-10-01,328705.122,-0.9886647372518764
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-11-01,346434.524,5.393710293324849
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2024-12-01,345784.502,-0.18763199247427975
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-01-01,356480.732,3.0933225572961076
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-02-01,294855.745,-17.287045685263013
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-03-01,376439.9,27.669175989770878
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-04-01,370268.154,-1.6395036764168869
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-05-01,351864.057,-4.970477963384345
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-06-01,329694.1045,-6.300715307218763
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-07-01,397047.192,20.428963266463242
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-08-01,362779.0235,-8.630754527537366
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-09-01,333918.4415,-7.955416418942973
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-10-01,353323.4085,5.8112894013372385
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-11-01,345990.5375,-2.0753991452564735
Northeast,1330980.698,410790.278,1798,53071.6655,3.9874106048080344,2025-12-01,381400.839,10.234471080007502
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-01-01,311260.412,
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-02-01,323040.3005,3.7845765300856815
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-03-01,351668.392,8.862080506887082
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-04-01,344717.3705,-1.9765840940291213
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-05-01,340259.0865,-1.2933157367536974
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-06-01,369969.5905,8.731729784385944
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-07-01,338066.308,-8.623217507385917
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-08-01,374397.726,10.746831949902557
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-09-01,331987.364,-11.327622753777089
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-10-01,328705.122,-0.9886647372518764
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-11-01,346434.524,5.393710293324849
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2024-12-01,345784.502,-0.18763199247427975
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-01-01,356480.732,3.0933225572961076
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-02-01,294855.745,-17.287045685263013
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-03-01,376439.9,27.669175989770878
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-04-01,370268.154,-1.6395036764168869
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-05-01,351864.057,-4.970477963384345
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-06-01,329694.1045,-6.300715307218763
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-07-01,397047.192,20.428963266463242
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-08-01,362779.0235,-8.630754527537366
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-09-01,333918.4415,-7.955416418942973
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-10-01,353323.4085,5.8112894013372385
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-11-01,345990.5375,-2.0753991452564735
Pacific,1281543.3145,395655.5745,1724,54519.606999999996,4.254214928449068,2025-12-01,381400.839,10.234471080007502
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-01-01,311260.412,
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-02-01,323040.3005,3.7845765300856815
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-03-01,351668.392,8.862080506887082
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-04-01,344717.3705,-1.9765840940291213
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-05-01,340259.0865,-1.2933157367536974
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-06-01,369969.5905,8.731729784385944
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-07-01,338066.308,-8.623217507385917
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-08-01,374397.726,10.746831949902557
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-09-01,331987.364,-11.327622753777089
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-10-01,328705.122,-0.9886647372518764
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-11-01,346434.524,5.393710293324849
Southeast,1516618.616,464791.136,2057,62902.274,4.1475340824907825,2024-12-01,345784.502,-0.18763199247427975
