month_start,monthly_revenue,monthly_orders,monthly_customers,monthly_growth_pct,monthly_aov
2024-01-01,311260.412,432,416,,720.510212962963
2024-02-01,323040.3005,427,403,3.7845765300856815,756.5346615925059
2024-03-01,351668.392,482,459,8.862080506887082,729.6024730290457
2024-04-01,344717.3705,471,450,-1.9765840940291213,731.8840138004247
2024-05-01,340259.0865,482,450,-1.2933157367536974,705.9317147302904
2024-06-01,369969.5905,483,458,8.731729784385944,765.9825890269151
2024-07-01,338066.308,462,439,-8.623217507385917,731.7452554112555
2024-08-01,374397.726,500,477,10.746831949902557,748.7954520000001
2024-09-01,331987.364,437,422,-11.327622753777089,759.6964851258581
2024-10-01,328705.122,463,443,-0.9886647372518764,709.9462678185745
2024-11-01,346434.524,439,420,5.393710293324849,789.144701594533
2024-12-01,345784.502,458,436,-0.18763199247427975,754.9879956331878
2025-01-01,356480.732,477,454,3.0933225572961076,747.3390607966458
2025-02-01,294855.745,406,381,-17.287045685263013,726.2456773399015
2025-03-01,376439.9,487,461,27.669175989770878,772.9772073921972
2025-04-01,370268.154,483,463,-1.6395036764168869,766.6007329192546
2025-05-01,351864.057,471,452,-4.970477963384345,747.0574458598726
2025-06-01,329694.1045,439,418,-6.300715307218763,751.0116275626424
2025-07-01,397047.192,505,485,20.428963266463242,786.2320633663365
2025-08-01,362779.0235,472,450,-8.630754527537366,768.5996260593221
2025-09-01,333918.4415,450,422,-7.955416418942973,742.0409811111111
2025-10-01,353323.4085,485,459,5.8112894013372385,728.5018731958763
2025-11-01,345990.5375,466,442,-2.0753991452564735,742.4689645922746
2025-12-01,381400.839,492,468,10.234471080007502,775.2049573170731
