product_id,revenue,orders,product_name,category
PROD000035,46165.2,50,Beauty Item 35,Beauty
PROD000150,45934.46,45,Beauty Item 150,Beauty
PROD000020,45324.36,47,Home Item 20,Home
PROD000219,44691.34,45,Apparel Item 219,Apparel
PROD000240,42734.99,57,Sports Item 240,Sports
PROD000198,41457.61,44,Sports Item 198,Sports
PROD000117,41211.369999999995,50,Home Item 117,Home
PROD000192,41076.84,42,Home Item 192,Home
PROD000175,39348.59,50,Beauty Item 175,Beauty
PROD000234,38932.82,41,Home Item 234,Home
PROD000210,38475.18,47,Beauty Item 210,Beauty
PROD000193,38406.31,41,Sports Item 193,Sports
PROD000172,37557.1,43,Apparel Item 172,Apparel
PROD000107,37093.159999999996,49,Apparel Item 107,Apparel
PROD000016,36996.19,50,Sports Item 16,Sports
PROD000197,36010.48,44,Sports Item 197,Sports
PROD000139,35498.87,40,Home Item 139,Home
PROD000085,35437.87,41,Home Item 85,Home
PROD000057,35379.12,45,Home Item 57,Home
PROD000227,35203.48,43,Apparel Item 227,Apparel
PROD000097,35144.87,49,Apparel Item 97,Apparel
PROD000114,35017.47,42,Sports Item 114,Sports
PROD000130,34764.14,43,Sports Item 130,Sports
PROD000141,33911.95,40,Beauty Item 141,Beauty
PROD000001,33833.2,41,Sports Item 1,Sports
