order_id,order_line_id,order_ts,customer_id,product_id,quantity,unit_price,line_amount,region,channel
ORD0000001,ORD0000001-L3233,2026-02-14 23:00:00,CUST000483,PROD000233,3,386.1,1158.3,Northeast,marketplace
ORD0000002,ORD0000002-L3005,2026-02-09 20:00:00,CUST000314,PROD000005,3,319.36,958.08,Southeast,store
ORD0000002,ORD0000002-L3237,2026-02-09 20:00:00,CUST000314,PROD000237,3,228.01,684.03,Northeast,mobile
ORD0000002,ORD0000002-L1129,2026-02-09 20:00:00,CUST000314,PROD000129,1,125.88,125.88,West,mobile
ORD0000003,ORD0000003-L2109,2026-02-16 10:00:00,CUST000237,PROD000109,2,280.87,561.74,Northeast,mobile
ORD0000003,ORD0000003-L1203,2026-02-16 10:00:00,CUST000237,PROD000203,1,335.95,335.95,Midwest,web
ORD0000003,ORD0000003-L2044,2026-02-16 10:00:00,CUST000237,PROD000044,2,378.65,757.3,West,web
ORD0000003,ORD0000003-L1191,2026-02-16 10:00:00,CUST000237,PROD000191,1,339.86,339.86,Midwest,web
ORD0000004,ORD0000004-L1140,2026-03-09 06:00:00,CUST000288,PROD000140,1,254.51,254.51,Midwest,web
ORD0000004,ORD0000004-L3124,2026-03-09 06:00:00,CUST000288,PROD000124,3,163.22,489.66,Midwest,web
ORD0000004,ORD0000004-L3159,2026-03-09 06:00:00,CUST000288,PROD000159,3,316.49,949.47,Midwest,web
ORD0000005,ORD0000005-L2114,2026-04-09 22:00:00,CUST000332,PROD000114,2,418.37,836.74,Midwest,mobile
ORD0000005,ORD0000005-L3050,2026-04-09 22:00:00,CUST000332,PROD000050,3,326.62,979.86,Northeast,mobile
ORD0000005,ORD0000005-L2192,2026-04-09 22:00:00,CUST000332,PROD000192,2,431.63,863.26,Northeast,store
ORD0000006,ORD0000006-L2178,2026-03-26 18:00:00,CUST000293,PROD000178,2,237.45,474.9,Southeast,mobile
ORD0000006,ORD0000006-L3249,2026-03-26 18:00:00,CUST000293,PROD000249,3,109.89,329.67,Midwest,marketplace
ORD0000007,ORD0000007-L2001,2026-04-04 21:00:00,CUST000270,PROD000001,2,423.18,846.36,Northeast,web
ORD0000007,ORD0000007-L3147,2026-04-04 21:00:00,CUST000270,PROD000147,3,247.63,742.89,Northeast,web
ORD0000007,ORD0000007-L2022,2026-04-04 21:00:00,CUST000270,PROD000022,2,60.39,120.78,Midwest,web
ORD0000008,ORD0000008-L3117,2026-01-26 10:00:00,CUST000246,PROD000117,3,409.16,1227.48,Midwest,store
ORD0000008,ORD0000008-L2224,2026-01-26 10:00:00,CUST000246,PROD000224,2,345.92,691.84,Northeast,web
ORD0000009,ORD0000009-L2206,2026-04-13 13:00:00,CUST000070,PROD000206,2,351.13,702.26,Northeast,marketplace
ORD0000009,ORD0000009-L1106,2026-04-13 13:00:00,CUST000070,PROD000106,1,143.57,143.57,Midwest,marketplace
ORD0000009,ORD0000009-L2097,2026-04-13 13:00:00,CUST000070,PROD000097,2,357.09,714.18,West,mobile
ORD0000010,ORD0000010-L2233,2026-03-08 21:00:00,CUST000007,PROD000233,2,366.8,733.6,Midwest,marketplace
ORD0000010,ORD0000010-L1202,2026-03-08 21:00:00,CUST000007,PROD000202,1,389.02,389.02,Northeast,marketplace
ORD0000010,ORD0000010-L2219,2026-03-08 21:00:00,CUST000007,PROD000219,2,471.18,942.36,Northeast,web
ORD0000011,ORD0000011-L2147,2026-02-22 03:00:00,CUST000199,PROD000147,2,261.38,522.76,Midwest,mobile
ORD0000011,ORD0000011-L3194,2026-02-22 03:00:00,CUST000199,PROD000194,3,204.84,614.52,Southeast,store
ORD0000011,ORD0000011-L1208,2026-02-22 03:00:00,CUST000199,PROD000208,1,82.01,82.01,Southeast,web
ORD0000012,ORD0000012-L3175,2026-03-19 21:00:00,CUST000108,PROD000175,3,375.54,1126.62,Southeast,mobile
ORD0000012,ORD0000012-L3069,2026-03-19 21:00:00,CUST000108,PROD000069,3,129.35,388.05,Midwest,store
ORD0000012,ORD0000012-L2199,2026-03-19 21:00:00,CUST000108,PROD000199,2,34.43,68.86,West,store
ORD0000012,ORD0000012-L1189,2026-03-19 21:00:00,CUST000108,PROD000189,1,95.37,95.37,West,web
ORD0000013,ORD0000013-L2078,2026-02-27 23:00:00,CUST000449,PROD000078,2,23.07,46.14,Southeast,mobile
ORD0000013,ORD0000013-L3204,2026-02-27 23:00:00,CUST000449,PROD000204,3,450.52,1351.56,Southeast,mobile
ORD0000013,ORD0000013-L2008,2026-02-27 23:00:00,CUST000449,PROD000008,2,254.29,508.58,Southeast,web
ORD0000013,ORD0000013-L2175,2026-02-27 23:00:00,CUST000449,PROD000175,2,375.54,751.08,West,store
ORD0000014,ORD0000014-L1183,2026-01-24 14:00:00,CUST000218,PROD000183,1,192.63,192.63,Southeast,marketplace
ORD0000014,ORD0000014-L3249,2026-01-24 14:00:00,CUST000218,PROD000249,3,103.78,311.34,Northeast,marketplace
ORD0000014,ORD0000014-L1053,2026-01-24 14:00:00,CUST000218,PROD000053,1,226.65,226.65,Northeast,marketplace
ORD0000014,ORD0000014-L3227,2026-01-24 14:00:00,CUST000218,PROD000227,3,401.18,1203.54,Southeast,store
ORD0000015,ORD0000015-L1092,2026-02-22 11:00:00,CUST000425,PROD000092,1,471.5,471.5,Midwest,mobile
ORD0000015,ORD0000015-L1107,2026-02-22 11:00:00,CUST000425,PROD000107,1,428.08,428.08,Northeast,mobile
ORD0000016,ORD0000016-L2023,2026-01-29 07:00:00,CUST000175,PROD000023,2,30.51,61.02,Midwest,mobile
ORD0000016,ORD0000016-L2060,2026-01-29 07:00:00,CUST000175,PROD000060,2,297.34,594.68,West,store
ORD0000016,ORD0000016-L3078,2026-01-29 07:00:00,CUST000175,PROD000078,3,23.07,69.21,Midwest,marketplace
ORD0000016,ORD0000016-L3150,2026-01-29 07:00:00,CUST000175,PROD000150,3,444.83,1334.49,West,web
ORD0000017,ORD0000017-L1213,2026-04-11 07:00:00,CUST000207,PROD000213,1,10.89,10.89,Midwest,web
ORD0000018,ORD0000018-L1152,2026-04-17 16:00:00,CUST000487,PROD000152,1,347.26,347.26,Northeast,marketplace
ORD0000019,ORD0000019-L2144,2026-04-12 00:00:00,CUST000362,PROD000144,2,368.13,736.26,Midwest,store
ORD0000020,ORD0000020-L1193,2026-02-01 15:00:00,CUST000454,PROD000193,1,491.13,491.13,West,marketplace
ORD0000020,ORD0000020-L3034,2026-02-01 15:00:00,CUST000454,PROD000034,3,275.08,825.24,West,web
ORD0000020,ORD0000020-L2235,2026-02-01 15:00:00,CUST000454,PROD000235,2,67.94,135.88,Southeast,web
ORD0000020,ORD0000020-L2089,2026-02-01 15:00:00,CUST000454,PROD000089,2,35.07,70.14,Southeast,mobile
ORD0000021,ORD0000021-L3250,2026-02-28 02:00:00,CUST000077,PROD000250,3,371.97,1115.91,West,web
ORD0000022,ORD0000022-L3240,2026-04-22 15:00:00,CUST000437,PROD000240,3,363.19,1089.57,Southeast,store
ORD0000022,ORD0000022-L1061,2026-04-22 15:00:00,CUST000437,PROD000061,1,302.52,302.52,West,store
ORD0000023,ORD0000023-L2100,2026-03-31 22:00:00,CUST000343,PROD000100,2,183.97,367.94,West,store
ORD0000024,ORD0000024-L3243,2026-03-07 12:00:00,CUST000036,PROD000243,3,214.25,642.75,Midwest,marketplace
ORD0000025,ORD0000025-L2249,2026-04-14 08:00:00,CUST000122,PROD000249,2,122.1,244.2,Midwest,web
ORD0000025,ORD0000025-L3157,2026-04-14 08:00:00,CUST000122,PROD000157,3,234.38,703.14,West,marketplace
ORD0000025,ORD0000025-L3131,2026-04-14 08:00:00,CUST000122,PROD000131,3,148.53,445.59,Midwest,mobile
ORD0000025,ORD0000025-L1201,2026-04-14 08:00:00,CUST000122,PROD000201,1,368.5,368.5,Midwest,web
ORD0000026,ORD0000026-L1185,2026-03-22 12:00:00,CUST000383,PROD000185,1,423.81,423.81,Southeast,mobile
ORD0000026,ORD0000026-L1081,2026-03-22 12:00:00,CUST000383,PROD000081,1,253.35,253.35,West,web
ORD0000027,ORD0000027-L2141,2026-03-31 15:00:00,CUST000026,PROD000141,2,389.57,779.14,West,mobile
ORD0000027,ORD0000027-L3196,2026-03-31 15:00:00,CUST000026,PROD000196,3,380.2,1140.6,West,web
ORD0000027,ORD0000027-L1043,2026-03-31 15:00:00,CUST000026,PROD000043,1,129.35,129.35,Midwest,marketplace
ORD0000028,ORD0000028-L3058,2026-03-18 11:00:00,CUST000372,PROD000058,3,308.58,925.74,Northeast,store
ORD0000029,ORD0000029-L1248,2026-04-20 17:00:00,CUST000069,PROD000248,1,280.87,280.87,Southeast,web
ORD0000030,ORD0000030-L2192,2026-04-05 02:00:00,CUST000408,PROD000192,2,431.63,863.26,Midwest,mobile
ORD0000030,ORD0000030-L3132,2026-04-05 02:00:00,CUST000408,PROD000132,3,382.08,1146.24,West,web
ORD0000031,ORD0000031-L1240,2026-03-20 10:00:00,CUST000275,PROD000240,1,403.54,403.54,Midwest,web
ORD0000032,ORD0000032-L3144,2026-02-19 19:00:00,CUST000092,PROD000144,3,331.32,993.96,Southeast,web
ORD0000033,ORD0000033-L3134,2026-04-01 15:00:00,CUST000328,PROD000134,3,349.69,1049.07,Southeast,store
ORD0000034,ORD0000034-L1152,2026-01-31 02:00:00,CUST000217,PROD000152,1,329.9,329.9,Southeast,mobile
ORD0000035,ORD0000035-L3047,2026-02-25 17:00:00,CUST000355,PROD000047,3,132.48,397.44,Northeast,web
ORD0000035,ORD0000035-L1030,2026-02-25 17:00:00,CUST000355,PROD000030,1,71.09,71.09,Southeast,store
ORD0000035,ORD0000035-L2031,2026-02-25 17:00:00,CUST000355,PROD000031,2,98.01,196.02,West,store
